"","Df","Deviance","Resid. Df","Resid. Dev","F","Pr(>F)"
"NULL",NA,NA,59,1532.79647483814,NA,NA
"Age",4,1345.16779730343,55,187.628677534712,204.012586640348,3.98084994113109e-25
"Ethnicity",3,19.8770139082945,52,167.751663626417,4.01948468708659,0.014057841197225
"NZDep",2,17.0975117137222,50,150.654151912695,5.18613008254064,0.0101989888138837
"Age:Ethnicity",12,80.8045958503298,38,69.8495560623651,4.08503054288109,0.000430194302177968
