"DHB","Vaccination","vaccine_cost","case_wage_loss","manage_cost","hosp_cost","contacts_wage_loss","total_discounted_costs","outbreak_size_post_vacc","future_ob_costs","benefit_cost","net_present_value"
"Auckland",13840,21561474.4,1720709.105,41033.54,654669.61393,0,21230861.3071229,2,17177.7671484469,0.983882642097777,-347790.860025503
"Bay of Plenty",3548,5527464.68,462285.252894737,11024.06,175883.36527,0,5703877.58164179,2,17177.7671484469,1.02871873813527,159235.134493344
"Canterbury",10520,16389213.2,1349335.54315789,32177.44,513374.96648,0,16648691.9202747,2,17177.7671484469,1.01476869310328,242300.953126285
"Capital and Coast",8250,12852757.5,1033929.05605263,24655.98,393373.83291,0,12757068.7727941,3,25766.6507226703,0.990569154003429,-121455.377928585
"Counties Manukau",16008,24939023.28,1976180.70236842,47125.74,751867.61883,0,24382981.5788629,3,25766.6507226703,0.976694842877739,-581808.351859726
"Hawke's Bay",2991,4659708.81,386339.881578947,9213,146988.8085,0,4766830.38369401,2,17177.7671484469,1.01923155609226,89943.8065455658
"Hutt Valley",3477,5416853.07,441262.794473684,10522.74,167885.05533,0,5444493.29770024,2,17177.7671484469,1.00192535906868,10462.4605517955
"Lakes",2343,3650183.13,298560.676052632,7119.74,113591.89183,0,3683772.16498444,2,17177.7671484469,1.00447495305105,16411.2678359891
"MidCentral",3732,5814120.12,476903.518684211,11372.66,181445.10397,0,5884244.13670048,2,17177.7671484469,1.00907966812478,52946.2495520357
"Nelson Marlborough",1617,2519140.47,214818.896315789,5122.76,81731.07442,0,2650529.47100536,3,25766.6507226703,1.04150342046773,105622.350282686
"Northland",2407,3749889.37,315058.433157895,7513.16,119868.71122,0,3887328.70569353,3,25766.6507226703,1.02957702829864,111672.684970862
"South Canterbury",604,940977.64,80470.072631579,1918.96,30616.04732,0,992874.94118023,3,25766.6507226703,1.02702953687787,26130.6504575602
"Southern",6561,10221447.51,840898.336842105,20052.8,319932.3976,0,10375371.3576619,2,17177.7671484469,1.01335590245877,136746.080513477
"Tairawhiti",1147,1786922.77,144999.274473684,3457.78,55167.15101,0,1789064.44851074,2,17177.7671484469,0.99166560381304,-15036.0886377031
"Taranaki",2247,3500623.77,289441.662631579,6902.28,110122.42626,0,3571257.79016211,3,25766.6507226703,1.01272331310106,44867.3694394389
"Waikato",9232,14382625.12,1169322.04157895,27884.68,444886.12706,0,14427606.6279805,2,17177.7671484469,1.00193084176568,27803.7408320978
"Wairarapa",532,828808.12,70376.5081578947,1678.26,26775.79917,0,868336.12935399,3,25766.6507226703,1.01610316510945,13761.3586313199
"Waitemata",13729,21388546.39,1736649.97578947,41413.68,660734.55756,0,21427546.7409727,2,17177.7671484469,1.00101947421465,21822.5838242061
"West Coast",497,774281.27,65155.6989473684,1553.76,24789.46392,0,803919.502547315,2,17177.7671484469,1.01574366431365,12460.4653988676
"Whanganui",1075,1674753.25,139778.465263158,3333.28,53180.81576,0,1724647.82170407,2,17177.7671484469,1.01933696127326,32716.804555621
"TOTAL",104357,162578813.87,13212475.8960526,315076.3,5026884.82835,0,163021304.680548,47,403677.527988502,1.00023814387807,38813.2825596333
