"DHB","Vaccination","vaccine_cost","case_wage_loss","manage_cost","hosp_cost","contacts_wage_loss","total_discounted_costs","outbreak_size_post_vacc","future_ob_costs","benefit_cost","net_present_value"
"Auckland",13840,574360,1720709.105,41033.54,654669.61393,0,18852104.8525002,2,15253.1290525509,31.9736856653679,18262491.7234477
"Bay of Plenty",3548,147242,462285.252894737,11024.06,175883.36527,0,5064801.50189951,2,15253.1290525509,31.1689435334493,4902306.37284696
"Canterbury",10520,436580,1349335.54315789,32177.44,513374.96648,0,14783332.6777323,2,15253.1290525509,32.7185673806865,14331499.5486797
"Capital and Coast",8250,342375,1033929.05605263,24655.98,393373.83291,0,11327736.2908769,3,22879.6935788263,31.0132531902215,10962481.5972981
"Counties Manukau",16008,664332,1976180.70236842,47125.74,751867.61883,0,21651054.0336433,3,22879.6935788263,31.5056542779272,20963842.3400645
"Hawke's Bay",2991,124126.5,386339.881578947,9213,146988.8085,0,4232743.31208286,2,15253.1290525509,30.3684501160996,4093363.68303031
"Hutt Valley",3477,144295.5,441262.794473684,10522.74,167885.05533,0,4834479.253206,2,15253.1290525509,30.3009764603722,4674930.62415344
"Lakes",2343,97234.5,298560.676052632,7119.74,113591.89183,0,3271033.52531953,2,15253.1290525509,29.0790512065234,3158545.89626698
"MidCentral",3732,154878,476903.518684211,11372.66,181445.10397,0,5224959.3569513,2,15253.1290525509,30.7113659096296,5054828.22789875
"Nelson Marlborough",1617,67105.5,214818.896315789,5122.76,81731.07442,0,2353557.8128086,3,22879.6935788263,26.1549452660443,2263572.61922977
"Northland",2407,99890.5,315058.433157895,7513.16,119868.71122,0,3451783.10459226,3,22879.6935788263,28.1158072979334,3329012.91101343
"South Canterbury",604,25066,80470.072631579,1918.96,30616.04732,0,881630.85923744,3,22879.6935788263,18.3881135807948,833685.165658614
"Southern",6561,272281.5,840898.336842105,20052.8,319932.3976,0,9212889.94774072,2,15253.1290525509,32.0409753012982,8925355.31868817
"Tairawhiti",1147,47600.5,144999.274473684,3457.78,55167.15101,0,1588613.39082317,2,15253.1290525509,25.2748077520704,1525759.76177062
"Taranaki",2247,93250.5,289441.662631579,6902.28,110122.42626,0,3171125.53002532,3,22879.6935788263,27.3066412127596,3054995.3364465
"Waikato",9232,383128,1169322.04157895,27884.68,444886.12706,0,12811103.0912375,2,15253.1290525509,32.1579064794195,12412721.9621849
"Wairarapa",532,22078,70376.5081578947,1678.26,26775.79917,0,771045.673606446,3,22879.6935788263,17.1504721934754,726087.98002762
"Waitemata",13729,569753.5,1736649.97578947,41413.68,660734.55756,0,19026753.1801519,2,15253.1290525509,32.5239958579047,18441746.5510994
"West Coast",497,20625.5,65155.6989473684,1553.76,24789.46392,0,713846.43965938,2,15253.1290525509,19.8961459372882,677967.810606829
"Whanganui",1075,44612.5,139778.465263158,3333.28,53180.81576,0,1531414.15687611,2,15253.1290525509,25.5808580167396,1471548.52782356
"TOTAL",104357,4330815.5,13212475.8960526,315076.3,5026884.82835,0,144756007.990971,47,358448.532734945,30.8696646169749,140066743.958236
