"DHB","Vaccination","vaccine_cost","case_wage_loss","manage_cost","hosp_cost","contacts_wage_loss","total_discounted_costs","outbreak_size_post_vacc","future_ob_costs","benefit_cost","net_present_value"
"Auckland",13840,850052.8,31324.8552631579,66688.1254010695,11918.0115,98027.7426670445,1827148.09548373,2,81206.5820214992,1.96201845668122,895888.713462232
"Bay of Plenty",3548,217918.16,1392.21578947368,2963.91668449198,529.6894,4356.78856297976,81206.5820214992,2,81206.5820214992,0.271480658780351,-217918.16
"Canterbury",10520,646138.4,23667.6684210526,50386.5836363636,9004.7198,74065.4055706559,1380511.89436549,2,81206.5820214992,1.89801528640323,653166.912343987
"Capital and Coast",8250,506715,2784.43157894737,5927.83336898396,1059.3788,8713.57712595951,162413.164042998,3,121809.873032249,0.258403717993616,-466111.70898925
"Counties Manukau",16008,983211.36,18098.8052631579,38530.9168983957,6885.9622,56638.2513187368,1055685.56627949,3,121809.873032249,0.955353195687128,-49335.6667527594
"Hawke's Bay",2991,183707.22,3480.53947368421,7409.79171122995,1324.2235,10891.9714074494,203016.455053748,2,81206.5820214992,0.766349104895909,-61897.3469677512
"Hutt Valley",3477,213557.34,0,0,0,0,0,2,81206.5820214992,0,-294763.922021499
"Lakes",2343,143907.06,2784.43157894737,5927.83336898396,1059.3788,8713.57712595951,162413.164042998,2,81206.5820214992,0.721471886752591,-62700.4779785008
"MidCentral",3732,229219.44,696.107894736842,1481.95834224599,264.8447,2178.39428148988,40603.2910107496,2,81206.5820214992,0.130798606206852,-269822.73101075
"Nelson Marlborough",1617,99316.14,0,0,0,0,0,3,121809.873032249,0,-221126.013032249
"Northland",2407,147837.94,5568.86315789474,11855.6667379679,2118.7576,17427.154251919,324826.328085997,3,121809.873032249,1.20463179149593,55178.5150537479
"South Canterbury",604,37097.68,0,0,0,0,0,3,121809.873032249,0,-158907.553032249
"Southern",6561,402976.62,6961.07894736842,14819.5834224599,2648.447,21783.9428148988,406032.910107496,2,81206.5820214992,0.838593549739602,-78150.2919140033
"Tairawhiti",1147,70448.74,696.107894736842,1481.95834224599,264.8447,2178.39428148988,40603.2910107496,2,81206.5820214992,0.267734033132009,-111052.03101075
"Taranaki",2247,138010.74,0,0,0,0,0,3,121809.873032249,0,-259820.613032249
"Waikato",9232,567029.44,11137.7263157895,23711.3334759358,4237.5152,34854.3085038381,649652.656171993,2,81206.5820214992,1.00218536783266,1416.63415049424
"Wairarapa",532,32675.44,0,0,0,0,0,3,121809.873032249,0,-154485.313032249
"Waitemata",13729,843235.18,33413.1789473684,71134.0004278075,12712.5456,104562.925511514,1948957.96851598,2,81206.5820214992,2.10825391991611,1024516.20649448
"West Coast",497,30525.74,1392.21578947368,2963.91668449198,529.6894,4356.78856297976,81206.5820214992,2,81206.5820214992,0.726795796885647,-30525.74
"Whanganui",1075,66026.5,0,0,0,0,0,2,81206.5820214992,0,-147233.082021499
"TOTAL",104357,6409606.94,143398.226315789,305283.418502674,54558.0082,448749.221986915,8364277.94821441,47,1908354.67750523,1.00556823087663,46316.3307091836
