"DHB","Vaccination","vaccine_cost","case_wage_loss","manage_cost","hosp_cost","contacts_wage_loss","total_discounted_costs","outbreak_size_post_vacc","future_ob_costs","benefit_cost","net_present_value"
"Auckland",13840,19149162.4,1720709.105,41033.54,654669.61393,0,18852104.8525002,2,15253.1290525509,0.983703615897972,-312310.676552307
"Bay of Plenty",3548,4909048.28,462285.252894737,11024.06,175883.36527,0,5064801.50189951,2,15253.1290525509,1.02853198477832,140500.092846964
"Canterbury",10520,14555577.2,1349335.54315789,32177.44,513374.96648,0,14783332.6777323,2,15253.1290525509,1.01458409327957,212502.348679746
"Capital and Coast",8250,11414782.5,1033929.05605263,24655.98,393373.83291,0,11327736.2908769,3,22879.6935788263,0.990389128403911,-109925.902701929
"Counties Manukau",16008,22148828.88,1976180.70236842,47125.74,751867.61883,0,21651054.0336433,3,22879.6935788263,0.97651716654097,-520654.539935503
"Hawke's Bay",2991,4138377.51,386339.881578947,9213,146988.8085,0,4232743.31208286,2,15253.1290525509,1.01904663170733,79112.6730303126
"Hutt Valley",3477,4810811.97,441262.794473684,10522.74,167885.05533,0,4834479.253206,2,15253.1290525509,1.00174348127942,8414.1541534448
"Lakes",2343,3241798.23,298560.676052632,7119.74,113591.89183,0,3271033.52531953,2,15253.1290525509,1.00429289093895,13982.166266981
"MidCentral",3732,5163632.52,476903.518684211,11372.66,181445.10397,0,5224959.3569513,2,15253.1290525509,1.00889645205956,46073.7078987481
"Nelson Marlborough",1617,2237297.37,214818.896315789,5122.76,81731.07442,0,2353557.8128086,3,22879.6935788263,1.04131567864064,93380.749229772
"Northland",2407,3330349.27,315058.433157895,7513.16,119868.71122,0,3451783.10459226,3,22879.6935788263,1.02939081765185,98554.1410134337
"South Canterbury",604,835700.44,80470.072631579,1918.96,30616.04732,0,881630.85923744,3,22879.6935788263,1.02684749478483,23050.7256586136
"Southern",6561,9077865.21,840898.336842105,20052.8,319932.3976,0,9212889.94774072,2,15253.1290525509,1.01317167601061,119771.60868817
"Tairawhiti",1147,1587000.67,144999.274473684,3457.78,55167.15101,0,1588613.39082317,2,15253.1290525509,0.991486736846906,-13640.4082293783
"Taranaki",2247,3108971.67,289441.662631579,6902.28,110122.42626,0,3171125.53002532,3,22879.6935788263,1.01254023958583,39274.1664464981
"Waikato",9232,12773487.52,1169322.04157895,27884.68,444886.12706,0,12811103.0912375,2,15253.1290525509,1.00174860393205,22362.4421849158
"Wairarapa",532,736080.52,70376.5081578947,1678.26,26775.79917,0,771045.673606446,3,22879.6935788263,1.01592370694984,12085.4600276196
"Waitemata",13729,18995581.69,1736649.97578947,41413.68,660734.55756,0,19026753.1801519,2,15253.1290525509,1.00083733098788,15918.3610993959
"West Coast",497,687654.17,65155.6989473684,1553.76,24789.46392,0,713846.43965938,2,15253.1290525509,1.01556270737489,10939.1406068294
"Whanganui",1075,1487380.75,139778.465263158,3333.28,53180.81576,0,1531414.15687611,2,15253.1290525509,1.01915322037175,28780.2778235557
"TOTAL",104357,144389388.77,13212475.8960526,315076.3,5026884.82835,0,144756007.990971,47,358448.532734945,1.00005644773966,8170.68823590875
